序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
5518,7533129223270755860,万用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5519,7533129231860690452,梁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5520,7533129236155657748,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5521,7533129244745592340,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5522,7533129253335526932,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5523,7533129257630494228,贾用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5524,7533129266220428820,孙用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5525,7533129274810363412,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5526,7533129279105330708,严用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5527,7533129287695265300,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5528,7533129291990232596,熊用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5529,7533129300580167188,杨用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5530,7533129309170101780,贾用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5531,7533129313465069076,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
