序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
1,1627308899029876736,张先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",2,0,2000-06-29T16:00:00.000Z,"[""广东省"",""广州市"",""番禺区""]","[""河南省"",""郑州市"",""中原区""]",随时到岗,无经验,熟悉VR游戏制作，UE5虚拟引擎，精通C++、Python、matlab等编程语言。七年编程经验。熟悉pytorch、TensorFlow等深度学习框架。主要熟悉的领域有图像、NLP、强化学习，模拟飞行器开发、游戏开发、网页爬虫、网站逆向分析等。,"[""互联网"",""游戏"",""计算机软件""]",50000,55000,[],[],"第十届泰迪杯数据挖掘挑战赛_全国二等奖,全国大学生数学建模竞赛_省一等奖","Deepfake检测,闯关游戏开发,VR虚拟展厅开发",,"Python_MASTER,C++_MASTER,Matlab_MASTER,NLP_MASTER,网页爬虫_MASTER","深度学习,网页逆向分析",
2,1643560323032154112,王先生,"[""自然语言处理工程师"",""数据分析师""]",2,0,1990-02-28T16:00:00.000Z,"[""广东省"",""广州市"",""荔湾区""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,3年工作经验,熟练掌握python，Java编程技术，有前端开发经验,"[""互联网"",""信息安全""]",9000,13000,[],[],,,,,阳光开朗大男孩,
3,1643227269948375040,林先生,"[""数据分析师"",""数据挖掘工程师""]",2,0,2000-09-08T16:00:00.000Z,"[""广东省"",""广州市"",""海珠区""]","[""广东省"",""广州市"",""海珠区""]",时间待议,无经验,掌握微信小程序前端开发、数据分析、数据挖掘、报告写作等技能，项目经验丰富，动手能力强。,"[""互联网"",""数据服务""]",3000,4000,[],[],,基于微信小程序的校园导航,干事,,"数据分析,数据挖掘,网络爬虫",
4,1641058737659707392,段女士,"[""数据挖掘工程师"",""图像处理工程师"",""机器学习工程师""]",0,1,2002-01-23T16:00:00.000Z,"[""北京市"",""北京市"",""海淀区""]","[""河北省"",""邯郸市"",""临漳县""]",1周后到岗,3年工作经验,爱好,"[""金融"",""电子商务"",""媒体""]",8000,10000,['硕士'],[None],第六届泰迪杯数据挖掘挑战赛_创新奖,计算机,会计,python_COMMONLY,"你好,邯郸",泰迪杯
5,1640319370922164224,文女士,"[""数据分析师""]",2,1,2000-08-15T16:00:00.000Z,"[""浙江省"",""杭州市"",""拱墅区""]","[""浙江省"",""杭州市"",""西湖区""]",随时到岗,无经验,无,"[""金融"",""互联网""]",9000,11000,[],[],,,,,,
6,1639549004641599488,陈先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",2,0,2001-06-22T16:00:00.000Z,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""中山市"",""中山""]",1周后到岗,无经验,"掌握python、C语言的基础编程以及常用操作；
熟 悉numpy、pandas、 tensorFlow架构；
熟悉 MySQL 数据库，熟练编写 SQL 语句；
掌握 机器学习的基础算法；","[""不限"",""互联网"",""数据服务""]",6000,10000,[],[],"第七届数维杯大学生数学建模_三等奖,十届泰迪杯数据挖掘挑战赛_三等奖,全国大学生数学建模比赛_省三等奖",,,"python_GOOD,mysql_SKILLED",,
7,1639531141977473024,毕先生,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",2,0,2023-03-20T16:00:00.000Z,"[""天津市"",""天津市"",""河西区""]","[""北京市"",""北京市"",""西城区""]",随时到岗,10年以上工作经验,啥都会,"[""互联网""]",9000,14000,[],[],,,,,,
8,1637801716407730176,节先生,"[""图像处理工程师"",""计算机视觉工程师"",""机器学习工程师""]",2,0,2019-03-05T16:00:00.000Z,"[""山西省"",""长治市"",""潞城区""]","[""天津市"",""天津市"",""河西区""]",,10年以上工作经验,啥都会,[],50000,55000,[],[],,,,,,
9,1637791761638227968,地先生,"[""算法工程师"",""数据挖掘工程师"",""计算机视觉工程师""]",2,0,2000-02-14T16:00:00.000Z,"[""河北省"",""秦皇岛市"",""北戴河区""]","[""河北省"",""邯郸市"",""复兴区""]",随时到岗,4年工作经验,啥都会,"[""互联网"",""电子商务"",""金融""]",3000,6000,[],[],,,,,,
10,1635610357617786880,欧先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,0,2002-03-02T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",时间待议,无经验,Python 数据分析,"[""不限""]",3000,4000,[],[],第五届泰迪杯数据分析技能赛_特等奖,,,,数据分析,
11,1634019092572798976,赖女士,"[""数据分析师""]",0,1,2023-02-07T16:00:00.000Z,"[""江苏省"",""南京市"",""江宁区""]","[""江苏省"",""南京市"",""江宁区""]",随时到岗,无经验,无,"[""互联网""]",4000,5000,[],[],,,,,,
12,1632947816114552832,梁先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",2,0,2001-05-31T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""东莞市"",""东莞""]",随时到岗,1年工作经验,熟练操作python 、爬虫、sql语句、excel和powerbi等软件,"[""不限""]",6000,7000,['本科'],['统计学'],"第四届泰迪杯数据分析技能赛_三等奖,全国财经大数据技能处理大赛_南方赛区一等奖,校园创新创业大赛_优秀奖,全国财经大数据技能处理大赛_全国二等奖","天猫用户流失率分析,百货商场用户聚类,外卖系统搭建",python数据分析实习生,"python编程软件_SKILLED,excel_SKILLED,powerBI_GOOD",,"驾驶证,CET4,Python技术应用工程师（高级）,泰迪科技实习证明"
13,1632286586903330816,钟先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,0,1998-02-28T16:00:00.000Z,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,"本人是一名退伍军人,保留军人本色,为人平和,对待工作严谨,具备敏锐的观察力,对数字敏感, 熟悉 Linux,熟练运用 SQL、excel、PowerBi、SPSS、Python 等软件独立完成数据收集、整理、清洗、分析及可视化、挖掘,同时具备大数据相关组件构成的项目经验。","[""不限""]",4000,6000,[],[],,,,,,
14,1579833809761861632,李先生,"[""数据分析师"",""数据挖掘工程师""]",0,0,2000-05-29 00:00:00.0,"[""广东省"",""深圳市"",""南山区""]","[""广东省"",""中山市"",""中山""]",时间待议,无经验,"担任过班干、技术部部长、项目负责人因此具有一定组织力，
技术方面：荣获python编程国赛三等奖及人社部python程序员三级职业技能证书，科大讯飞1+X中级数据分析师。","[""不限""]",4000,8000,[],[],"第四届泰迪杯数据分析技能赛_一等奖,“第七届中国国际“互联网+大学生创新创业大赛广东省分赛_铜牌,计算机程序设计员(Python编程)竞赛全国总决赛_三等奖,第九届泰迪杯数据挖掘挑战赛_三等奖",银行客户忠诚度分析,助教,"python_MASTER,数据分析_SKILLED,数据建模（机器学习）_SKILLED,网络爬虫_GOOD","python,数据分析,机器学习,深度学习",1+X中级数据分析师
15,1631284316023685120,赖先生,"[""数据分析师"",""其他"",""数据挖掘工程师""]",0,0,2001-01-06T16:00:00.000Z,"[""广东省"",""深圳市"",""宝安区""]","[""广东省"",""深圳市"",""龙岗区""]",1周后到岗,无经验,"熟悉MySQL和Python
","[""不限""]",3000,6000,[],[],,,,,,
16,1631491020585828352,陈先生,"[""数据分析师"",""数据挖掘工程师"",""其他""]",2,0,2000-04-09T16:00:00.000Z,"[""广东省"",""深圳市"",""宝安区""]","[""广东省"",""惠州市"",""博罗县""]",2周后到岗,无经验,"熟练使用 Python 语言，了解基础机器学习和深度学习算法和模型，多次参加数据类比赛并获奖，有一定的数据分析经验和能力。对数据库基础操作基本掌握。
","[""不限""]",5000,7000,['本科'],['统计学'],"第九届泰迪杯数据挖掘挑战赛_二等奖,第四届泰迪杯数据分析技能赛_一等奖","肥料登记数据分析,通讯产品销售和盈利能力分析,电力系统负荷预测分析,银行客户忠诚度分析,银行客户忠诚度分析,基于人脸识别的口罩佩戴检测",,"Python_SKILLED,MySql_GOOD",,
17,1631135062105915392,潘先生,"[""其他""]",2,0,2001-12-17T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""茂名市"",""信宜市""]",1周后到岗,无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,[],3000,5000,['本科'],['数据科学与大数据技术'],"第九届泰迪杯数据挖掘挑战赛_三等奖,第四届泰迪杯数据分析技能赛_二等奖,全国大学生数学建模竞赛_国家二等奖,互联网+创新创业大赛_校级金奖","电力系统负荷预测,外卖订单数据库系统,信用卡高风险客户识别",,"Python_SKILLED,Linux_GOOD,SQL_GOOD","Python,Linux,SQL",
18,1630852451164880896,潘先生,"[""数据分析师"",""数据挖掘工程师""]",2,0,2001-12-17T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""茂名市"",""信宜市""]",1周后到岗,无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,"[""不限""]",3000,6000,['本科'],['数据科学与大数据技术'],"第九届泰迪杯数据挖掘挑战赛_三等奖,第四届泰迪杯数据分析技能赛_二等奖,全国大学生数学建模竞赛_国家二等奖,互联网＋创新创业大赛_校级金奖","电力系统负荷预测,外卖订单数据库系统,信用卡高风险客户识别",,"Python_SKILLED,Linux_GOOD,MySQL_SKILLED,Hadoop_COMMONLY,Spark_COMMONLY",Python,
19,1631126636327993344,潘先生,"[""其他""]",2,0,2001-12-17T16:00:00.000Z,"[""广东省"",""深圳市"",""宝安区""]","[""广东省"",""茂名市"",""信宜市""]",1周后到岗,无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,"[""不限""]",3000,5000,['本科'],['数据科学与大数据技术'],"第九届泰迪杯数据挖掘挑战赛_三等奖,第四届泰迪杯数据分析技能赛_二等奖,全国大学生数学建模竞赛_国家二等奖,互联网+创新创业大赛_校级金奖","电力系统负荷预测,外卖订单数据库系统,信用卡高风险客户识别",,"Python_SKILLED,Linux_GOOD,SQL_GOOD,Hadoop_COMMONLY","Python,Linux",
20,1630105867208753152,陈先生,"[""数据分析师"",""自然语言处理工程师"",""机器学习工程师""]",0,0,2000-01-27T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""肇庆市"",""广宁县""]",随时到岗,无经验,"1. 熟练使用python及其相关库操作。
2. 熟练Mysql数据库，熟悉标准SQL语句及存储过程。
3. 熟练掌握机器学习、深度学习技术。
4.有数理专业知识基础，了解常见的建模方法和流程。
5.善于分析与解决问题，有自己独立的分析思路，以及良好的编程风格。 
","[""互联网"",""数据服务"",""电子商务""]",3000,5000,[],[],,,,,,
21,1630884821167374336,李女士,"[""数据分析师""]",2,1,2000-09-30T16:00:00.000Z,"[""广东省"",""广州市"",""白云区""]","[""广东省"",""广州市"",""白云区""]",时间待议,1年工作经验,为人正直真诚，活泼开朗，且好学上进，工作学习态度严谨认真，责任心强；有较强的组织能力和适应能力，并具有良好的身体素质，乐于沟通，具备良好的沟通能力和团队协作能力，有团队精神，能快速融入团队；有很强的抗压能力，能承担较大的工作量及较强的工作压力,"[""电子商务"",""游戏"",""不限""]",5000,8000,['本科'],['应用统计学'],"第九届泰迪杯数据挖掘挑战赛_三等奖,全国大学生统计建模大赛_一等奖,美国数学建模竞赛_S奖","电商营销用户行为数据分析,京东花西子散粉评论数据采集与分析",数据分析师,"Python_GOOD,MySQL_GOOD,SPSS_GOOD,Excel_GOOD",大数据分析师,"大数据分析工程师,实习证明"
22,1630818546172952576,陈先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",2,0,2000-06-28T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",1周后到岗,无经验,本人认真刻苦、性格开朗，熟练使用 Python 的pandas、numpy、matplotlib等基础库，熟悉使用 MySQL数据库的增删改查，积极参与社会实践和项目锻炼，积极参加大多数的建模比赛，有较为丰富的模型建立，较为丰富的数据分析能力，能从不同角度进行问题的分析。,[],6000,8000,['本科'],['统计学'],"第四届泰迪杯数据分析技能赛_三等奖,“数维杯”全国大学生数学建模竞赛_国家三等奖,全国大学生数学建模竞赛_广东省三等奖,韩山师范学院大学生数学建模竞赛_学校三等奖",,数据分析实习生,"MySQL_SKILLED,Python_SKILLED,R_SKILLED,Linux_GOOD,机器学习_GOOD","数据分析,python,MySQL","大数据分析工程师,实习证明"
23,1623885034161307648,田女士,"[""其他""]",0,1,1999-10-24T16:00:00.000Z,"[""广东省"",""广州市"",""黄埔区""]","[""云南省"",""昆明市"",""官渡区""]",随时到岗,无经验,勤奋踏实，肯吃苦，有良好的沟通和表达能力，学习新事物能力强。语言表达清晰，有较强的逻辑思维能力。文字编纂能力较强。,"[""不限""]",3000,4000,[],[],,,,,,
24,1614575985309646848,唐女士,"[""数据分析师"",""其他""]",0,1,2001-08-24T16:00:00.000Z,"[""重庆市"",""重庆市"",""渝中区""]","[""重庆市"",""重庆市"",""彭水苗族土家族自治县""]",随时到岗,无经验,个人擅长与人沟通，且有良好的抗压能力，并且能够承担相应的工作任务，吃苦耐劳，对事情比较专注，且有很强的责任心,"[""不限""]",5000,8000,[],[],,,,,,
25,1599636587363303424,胡先生,"[""数据分析师""]",2,0,2001-05-24T16:00:00.000Z,"[""广东省"",""深圳市"",""龙岗区""]","[""广东省"",""广州市"",""天河区""]",1个月后到岗,无经验,"具备自我独立完成任务的能力，也能很好融入集体，具有集体荣誉感以及责任感
喜欢具有挑战性的任务，对待事物认真仔细
喜欢自我思考以及换位思考
对于新知识接受快,学习能力强",[],6000,11000,['本科'],['应用统计学'],2021年中国高校大数据挑战赛_三等奖,基于mysql的电商用户行为分析,数据分析师,,"数据分析,python,机器学习,MySQL,自然语言处理",C1驾驶证
26,1584881617820844032,林先生,"[""数据分析师"",""数据挖掘工程师""]",2,0,2001-12-27 00:00:00.0,"[""广东省"",""广州市"",""白云区""]","[""广西壮族自治区"",""桂林市"",""灵川县""]",时间待议,无经验,"信息与计算科学专业，c,c++有一定的基础知识，能够使用python进行编程，在校学习过数据库原理，","[""不限""]",8000,10000,[],[],,,,,,
27,1529487074560966656,史先生,"[""数据分析师""]",2,0,2001-07-27 00:00:00.0,"[""广东省"",""深圳市"",""罗湖区""]","[""广东省"",""广州市"",""天河区""]",1周后到岗,无经验,"会Excel，Word，PowerPoint，sql，python、spss
得过校奖学金","[""互联网""]",7000,9000,[],[],,,,,,
28,1583024721031725056,王女士,"[""数据分析师"",""数据挖掘工程师""]",0,1,2001-07-21 00:00:00.0,"[""湖北省"",""武汉市"",""武昌区""]","[""湖北省"",""武汉市"",""江夏区""]",随时到岗,无经验,"熟悉c/c++、以及数据结构和各种基本算法；
熟悉sql语言，了解mysql数据库的使用；
会用R语言，matlab语言进行简单的数据分析;
掌握办公室word、excel、powerpoint基本软件操作;","[""互联网"",""数据服务"",""O2O""]",5000,7000,['本科'],['信息与计算科学'],,,,"C语言/C++_GOOD,python_COMMONLY,mysql_COMMONLY",,
29,1582598236647063552,黄先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",2,0,2000-06-15 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",时间待议,1年工作经验,有扎实的统计学基础； 有强大的自我驱动能力，对于新事物能够保持高昂的学习热情，对工作认真严谨负责；有良好的代码编写习惯，熟悉各种聚类算法、分类算法、回归算法；有较为良好的可视化基础能够构建可视化大屏，同时对数据有较高的敏感度；有较多的项目和竞赛经验，且在多次大型比赛中小有成绩,"[""不限""]",8000,12000,['本科'],['统计学'],"第四届泰迪杯数据分析技能赛_全国三等奖,2022全国大学生数学建模竞赛_省级三等奖,2022韩山师范学院数学建模竞赛_全校一等奖,第十届泰迪杯数据挖掘挑战赛_全国一等奖,第四届泰迪杯数据分析技能赛_全国一等奖","新零售无人智能售货机商务数据分析项目,汽车贷款违约研究项目,农业害虫识别项目","数据分析师,数据分析师","Python_SKILLED,Mysql_SKILLED,SPSSPRO_MASTER,Office_SKILLED,Tableau_SKILLED","互联网,数据分析,数据挖掘,机器学习,数据建模","微班级证书,大数据分析工程师,2019学年韩山师范学院二等奖学金,泰迪科技实习证书,2020学年韩山师范学院一等奖学金,2021年韩山师范学院学生专项奖励优秀奖,数据分析专业技能证书,2021学年韩山师范学院一等奖学金"
30,1574625077318778880,谢女士,"[""Hadoop大数据开发工程师"",""数据分析师""]",2,1,2000-11-30 00:00:00.0,"[""广东省"",""深圳市"",""南山区""]","[""湖南省"",""湘潭市"",""雨湖区""]",时间待议,无经验,本人本科学的是计算机数据科学与大数据技术专业，熟悉hadoop大数据生态组件，如HDFS文件系统、MapReduce和yarn、能运用Hadoop架构实现大数据处理；掌握SQL语法及函数的使用； 具有持续学习和持续进步的自驱力，良好的沟通协作能力,[],9000,11000,[],[],,"员工培训平台,污水COD快速检测与分析系统,用户Session智能分析平台",,,,
31,1573938917198135296,李女士,"[""Hadoop大数据开发工程师""]",2,1,2001-01-14 00:00:00.0,"[""广东省"",""广州市"",""番禺区""]","[""湖南省"",""湘潭市"",""雨湖区""]",,无经验,"掌握Java、Python的基础语法，以及常用的数据结构与算法
掌握Hadoop、Hive 、Spark的基本原理以及使用，使用过Flume、Sqoop、Azkaban、Zookeeper、Kafka等组件
掌握SQL语法及函数的使用，以及相应的索引原理、存储引擎、事务等
掌握Linux系统的常用命","[""互联网""]",10000,15000,['本科'],['数据科学与大数据技术'],,"工资管理系统,B2B电商网站用户行为分析系统",,,,
32,1569987734318219264,马先生,"[""数据分析师"",""数据挖掘工程师"",""图像处理工程师""]",2,0,2000-05-03 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广西壮族自治区"",""南宁市"",""兴宁区""]",时间待议,1年工作经验," 工作积极认真，细心负责，适应能力强、学习能力强、性格开朗、善于创新、敢于迎接挑战。
 熟练运用办公自动化软件，有较强的编程能力和分析能力。
 掌握 python、SAS、matlab 等软件；熟悉 SQL、C 语言、R 语言等编程软件。","[""互联网"",""媒体"",""数据服务""]",8000,12000,['本科'],['应用统计学'],第十届泰迪杯数据挖掘挑战赛_省级三等奖,"花卉识别项目,口罩检测","实习生,实习生",,,
33,1569514123790778368,杨先生,"[""数据分析师""]",0,0,2001-04-11 00:00:00.0,"[""湖北省"",""武汉市"",""洪山区""]","[""湖北省"",""武汉市"",""洪山区""]",时间待议,无经验,"1.本人性格稳重随和、谈吐幽默风趣、具有优秀的社交能力和的组织协调能力。
2.适应能力强、可塑性高、具有进取精神和团队荣誉感。
3.强烈事业心和责任感使我能够面对任何困和和挑战。","[""互联网""]",7000,10000,[],[],"“育知联杯”智慧商业大数据创新应用大赛_一等奖,湖北省信创大赛—“达梦杯”_一等奖,技能竞赛“大数据分析赛项”_二等奖",,数据分析师,,,"达梦认证证书,泰迪科技实习证明"
34,1562334736783900672,黄先生,"[""数据分析师"",""数据挖掘工程师""]",0,0,2000-10-07 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,掌握python基础技能，有数据挖掘，数据分析经历，能通过python对大数据进行分析与预测。积极向上，学习能力强,"[""不限""]",4000,8000,['本科'],['信息与计算科学'],"第四届泰迪杯数据挖掘挑战赛_成功参赛,第八届泰迪杯数据挖掘挑战赛_三等奖",,,python技能_GOOD,,"数据分析就业班体验营,Python技术应用工程师（高级）"
35,1554782002648055808,李女士,"[""数据分析师"",""数据挖掘工程师""]",2,1,1999-08-05 00:00:00.0,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""广州市"",""白云区""]",1周后到岗,1年工作经验,"1、性格开朗外向，珍惜每一次学习机会，有较好的自学能力以及自我管理能力。
2、专业水平扎实，成绩优异，多次担任班干部，团队意识以及领导能力较强。
3、有半年的数据分析实习经验，并在实习期间按期完成工作任务，取得不错的成绩。
4、具有一定的抗压能力，能吃苦，对生活充满热情，做事认真，严谨。","[""互联网"",""金融"",""在线教育""]",6000,10000,['本科'],['统计学'],第八届泰迪杯数据挖掘挑战赛_三等奖,航空公司客户价值分析,,python_GOOD,,
36,1550096565136392192,蓝先生,"[""数据分析师"",""其他""]",0,0,2001-01-04 00:00:00.0,"[""广东省"",""广州市"",""番禺区""]","[""广东省"",""梅州市"",""兴宁市""]",时间待议,1年工作经验,本人有较强的组织协调能力、活动策划能力和公关能力;具有良好的团队精神，善于与人沟通和协作;社会实践能力强，对新事物接受能力快。能熟悉掌握办公软件（word、excel、PPT）。,"[""不限""]",3000,5000,['本科'],['数学与应用数学精算专业'],“互联网+”大学生创业大赛_校级铜奖,,"学管师,运营助教",计算机二级_SKILLED,,
37,1541793867911790592,殷先生,"[""其他""]",2,0,1999-03-07 00:00:00.0,"[""广东省"",""深圳市"",""龙岗区""]","[""湖南省"",""长沙市"",""开福区""]",2周后到岗,1年工作经验,具有较强的逻辑分析和再学习能力，对前端领域有所认知，积极进取，勇于挑战，为人热情，工作勤奋刻苦，出色团队意识，强烈的责任感，适应较强的工作强度，适应加班。,"[""不限""]",6000,8000,['本科'],['网络工程'],,校园综合平台小程序,"前端开发实习,前端开发",,前端开发,
38,1461666278635864064,张先生,"[""数据挖掘工程师"",""算法工程师""]",2,0,1992-09-26 00:00:00.0,"[""广东省"",""深圳市"",""宝安区""]","[""陕西省"",""咸阳市"",""杨陵区""]",时间待议,1年工作经验,积极参加学术研究，具有钻研精神,"[""互联网""]",10000,15000,"['本科', '硕士']","['农业机械化及其自动化', '管理科学与工程']",,一种防洒多功能水杯的设计,,"Python_SKILLED,Stata_SKILLED,Spss_MASTER,Eviews_MASTER","项目经验,机器学习,计量分析",
39,1461663453243637760,廖女士,"[""数据分析师""]",2,1,2000-10-01 00:00:00.0,"[""重庆市"",""重庆市"",""渝中区""]","[""重庆市"",""重庆市"",""渝中区""]",1周后到岗,无经验,"对数据挖掘分析及可视化兴趣强；
能较好地运用python和R；
性格开朗乐观，善于沟通；
学习能力较强；
有良好的团队精神，在工作中注意 团队沟通协作；
为人 诚恳，做事积极。","[""互联网""]",6000,9000,['本科'],['数据科学与大数技术'],"第八届泰迪杯数据挖掘挑战赛_二等奖,第三届泰迪杯数据分析技能赛_一等奖",,工作室室长,,"项目管理,数据分析",大数据分析工程师
40,1530030540420415488,许女士,"[""数据分析师""]",2,1,2000-05-10 00:00:00.0,"[""广东省"",""广州市"",""海珠区""]","[""广东省"",""汕头市"",""潮南区""]",随时到岗,无经验,"（1）做事注重细节和效率。在担任辅导员助理期间，协助老师完成多项学生工作，具备办公经验与沟通能力。
（2）数据分析能力。具备专业知识能力，参与多次学科竞赛，锻炼数据分析能力，曾获得2020年全国大学生数学建模竞赛一等奖。","[""不限""]",7000,10000,['本科'],['应用统计学'],"第三届泰迪杯数据分析技能赛_二等奖,第八届泰迪杯数据挖掘挑战赛_三等奖",2020年全国大学生数学建模竞赛,辅导员助理,数据分析_GOOD,数据分析,全国计算机二级考试
41,1529093815066034176,梁先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,0,2000-07-15 00:00:00.0,"[""广东省"",""广州市"",""海珠区""]","[""广东省"",""韶关市"",""浈江区""]",时间待议,无经验,"1、有一定的自学能力。
2、有较强的好奇心。
3、参加过数据分析、数据挖掘的比赛经验
4、有一定的matlab、python编程经验",[],3000,5000,['本科'],['信息与计算科学'],,,,"matlab编程_GOOD,python编程_GOOD",,
42,1461659304984707072,朱女士,"[""数据挖掘工程师"",""Hadoop大数据开发工程师""]",2,1,1998-10-04 00:00:00.0,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""黄埔区""]",随时到岗,无经验,主修课程包括数学分析、线性代数、C语言、概率论、Python语言基础、java程序设计、数据挖掘、文本挖掘、数学建模、深度学习等。喜欢泡CSDN论坛,"[""互联网"",""数据服务""]",6000,8000,['本科'],['信息与计算科学'],第八届泰迪杯数据挖掘挑战赛_二等奖,,,"Hadoop_GOOD,Python_GOOD,Java_SKILLED","深度学习,三级网络技术,Office软件,CET4",大数据开发工程师
43,1461648125990141952,王先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",2,0,1993-12-15 00:00:00.0,"[""广东省"",""广州市"",""海珠区""]","[""广东省"",""广州市"",""海珠区""]",2周后到岗,1年工作经验,有良好的计算机与数理统计基础，以及英语阅读能力，熟悉数据数据结构与常见的算法如分治算法、动态规划；熟悉统计学和数据挖掘常用基本原理如回归分析，方差分析，主成分分析，神经网络，聚类等；熟悉常见的机器学习算法如K近邻、朴素贝叶斯、决策树、apriori、adaboost、EM算法等,"[""金融"",""互联网"",""电子商务""]",12000,15000,"['本科', '硕士']","['信息与计算科学', '应用统计学']",第四届泰迪杯数据挖掘挑战赛_一等奖,,,"R语言_SKILLED,Python_SKILLED,SQL-server_SKILLED,Excel_MASTER,Java_SKILLED","计算机专业,数学基础扎实,熟悉算法",Python技术应用工程师（中级）
44,1461614384609624064,岑女士,"[""数据分析师""]",2,1,1999-04-16 00:00:00.0,"[""广西壮族自治区"",""南宁市"",""青秀区""]","[""广西壮族自治区"",""南宁市"",""青秀区""]",随时到岗,1年工作经验,在学习中，谦虚好学，积极进取，刻苦钻研。在工作中，认真负责，积极主动，能吃苦耐劳，有较强的的独立生活能力。大学期间，担任班级干部，并且兼任寝室长多年，有较强的组织能力、动手能力和团体协作精神。具有独特的想法，喜欢创新，有责任感和敬业精神，有崇高的理想。,"[""金融"",""电子商务""]",5000,8000,['本科'],['计算机科学与技术'],,,,"C_GOOD,Python_SKILLED,Office_SKILLED,PS_GOOD,网页设计_GOOD","喜欢创新,Python,PS,网页设计","全国大学生数学建模竞赛区级三等奖,师范生信息化教学应用大赛微课制作三等奖"
45,1461601893229920256,林先生,"[""数据分析师""]",2,0,1998-07-05 00:00:00.0,"[""广东省"",""广州市"",""越秀区""]","[""广东省"",""广州市"",""天河区""]",2周后到岗,无经验,"主修金融数学专业，熟悉数学以及金融专业知识；
有班长工作的经历，拥有不错的领导组织能力和团队精神；
关注数据分析行业，熟悉数据分析工作，对数据有敏锐的嗅觉以及数据的处理能力。","[""金融""]",6000,10000,['本科'],['金融数学'],第六届泰迪杯数据挖掘挑战赛_三等奖,,,"Excel_SKILLED,Python_GOOD","数据分析,团队精神",全国计算机Msoffice二级
46,1524204652525125632,请先生,"[""数据分析师""]",0,0,2022-05-10 00:00:00.0,"[""北京市"",""北京市"",""东城区""]","[""北京市"",""北京市"",""东城区""]",随时到岗,无经验,qqqq,"[""电子商务""]",3000,5000,[],[],,,,,,
47,1523993408442597376,余先生,"[""其他"",""数据分析师"",""机器学习工程师""]",2,0,2001-04-05 00:00:00.0,"[""广东省"",""广州市"",""白云区""]","[""广东省"",""广州市"",""天河区""]",随时到岗,无经验,对待工作认真负责，善于沟通、协调有较强的组织能力与团队精神；活泼开朗、乐观上进、有爱心并善于施教并行；上进心强、勤于学习能不断提高自身的能力与综合素质。,"[""互联网"",""游戏"",""计算机软件""]",3000,4000,['大专'],['软件技术'],,,,"HTML_GOOD,JavaScript_COMMONLY,Java_COMMONLY,css_GOOD","前端开发,HTML,CSS,Java",
